Frame,Prediction,Confidence,FPS
741,non-crocodile,0.8556,0.83
742,non-crocodile,0.8773,0.77
743,non-crocodile,0.8934,0.9
744,non-crocodile,0.8519,0.8
745,non-crocodile,0.8702,0.84
746,non-crocodile,0.884,0.75
747,non-crocodile,0.7749,0.87
748,non-crocodile,0.7141,0.73
749,non-crocodile,0.8713,0.89
750,non-crocodile,0.899,0.78
751,non-crocodile,0.8876,0.76
752,non-crocodile,0.9107,0.82
753,non-crocodile,0.8502,0.83
754,non-crocodile,0.7237,0.87
755,non-crocodile,0.7697,0.75
756,crocodile,0.5134,0.87
757,crocodile,0.5699,0.87
758,crocodile,0.8046,0.82
759,crocodile,0.7728,0.74
760,crocodile,0.7423,0.86
761,crocodile,0.7808,0.78
762,crocodile,0.8059,0.93
763,crocodile,0.836,0.77
764,crocodile,0.8354,0.88
765,crocodile,0.8193,0.78
766,crocodile,0.8712,0.86
767,crocodile,0.7873,0.73
768,crocodile,0.7967,0.85
769,crocodile,0.8538,0.89
770,crocodile,0.8891,0.74
771,crocodile,0.8411,0.75
772,crocodile,0.8431,0.87
773,crocodile,0.8436,0.84
774,crocodile,0.851,0.85
775,crocodile,0.8515,0.78
776,crocodile,0.8688,0.77
777,crocodile,0.8165,0.84
778,crocodile,0.845,0.82
779,crocodile,0.7833,0.9
780,crocodile,0.8172,0.82
781,crocodile,0.8194,0.87
782,crocodile,0.7994,0.79
783,crocodile,0.7648,0.9
784,crocodile,0.8323,0.79
785,crocodile,0.7744,0.87
786,crocodile,0.7317,0.78
787,crocodile,0.6756,0.84
788,crocodile,0.7073,0.74
789,crocodile,0.7523,0.83
790,crocodile,0.7367,0.9
791,crocodile,0.6949,0.85
792,crocodile,0.6803,0.77
793,crocodile,0.596,0.85
794,crocodile,0.7092,0.83
795,crocodile,0.6206,0.77
796,crocodile,0.5478,0.93
797,crocodile,0.644,0.88
798,crocodile,0.6413,0.74
799,crocodile,0.604,0.86
800,crocodile,0.6316,0.9
801,crocodile,0.6659,0.82
802,crocodile,0.7273,0.74
803,crocodile,0.7143,0.89
804,crocodile,0.8212,0.87
805,crocodile,0.7951,0.77
806,crocodile,0.6912,0.72
807,crocodile,0.7424,0.87
808,crocodile,0.7695,0.87
809,crocodile,0.7856,0.74
810,crocodile,0.7515,0.78
811,crocodile,0.7862,0.88
812,crocodile,0.7331,0.85
813,crocodile,0.5861,0.84
814,crocodile,0.5881,0.74
815,crocodile,0.631,0.89
816,crocodile,0.7168,0.86
817,crocodile,0.7138,0.85
818,crocodile,0.6893,0.77
819,crocodile,0.5653,0.9
820,crocodile,0.5896,0.87
821,crocodile,0.8176,0.84
822,crocodile,0.862,0.76
823,crocodile,0.8484,0.88
824,crocodile,0.8578,0.86
825,crocodile,0.8165,0.69
826,crocodile,0.766,0.86
